"id","region","state","locality","site_name","latitude","longitude","protection","popularity","length_sca","n_marinas_","size","marina_id","ocean_acce","land_acces","accessibil","geometry"
94,"Mexican Pacific","GUERRERO","ACAPULCO","BUFADERO",16.819936,-99.913379,"Not protected","1","2.982656473","0.344827586","3","26","3.32748406","9.375","31.19516306",c(-99.913379, 16.819936)
95,"Northwest Mexico","BAJA_CALIFORNIA SUR","LORETO","BULLDOG",25.81208023,-111.2536737,"Into MPA","5","2.684676416","0.172413793","3","35","2.857090209","4.375","12.49976967",c(-111.2536737, 25.81208023)
96,"Northwest Mexico","BAJA_CALIFORNIA","ROSARITO","BUQUE_URIBE_121",32.222265,-116.933427,"Not protected","1","2.029162922","0.344827586","3","42","2.373990508","4.375","10.38620847",c(-116.933427, 32.222265)
97,"Northwest Mexico","BAJA_CALIFORNIA","BAHIA DE LOS ANGELES","CABEZA_CABALLO",28.97697382,-113.4771121,"Into MPA","1","2.439721815","0.172413793","2","140","2.612135608","5","13.06067804",c(-113.4771121, 28.97697382)
98,"Northwest Mexico","BAJA_CALIFORNIA SUR","COMONDU","CABO_CORZO",24.6656021,-112.1840912,"Not protected","1","2.137216231","0.172413793","1","77","2.309630024","6.25","14.43518765",c(-112.1840912, 24.6656021)
99,"Gulf of Mexico","VERACRUZ","VERACRUZ","CABO_MEX_EXT_N",19.21992142,-96.05041978,"Into MPA","1","2.511769747","1.896551724","3","6","4.408321471","7.5","33.06241103",c(-96.05041978, 19.21992142)
100,"Gulf of Mexico","VERACRUZ","VERACRUZ","CABO_MEX_EXT_S",19.21946041,-96.04795348,"Into MPA","1","2.479110948","1.896551724","3","6","4.375662672","7.5","32.81747004",c(-96.04795348, 19.21946041)
101,"Mexican Pacific","COLIMA","REVILLAGIGEDO","CABO_PEARCE",18.778648,-110.906304,"Not take zone","10","0.207652722","0","3","17","0.207652722","9.375","1.94674427",c(-110.906304, 18.778648)
102,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","CABO_SAN_QUINTIN",30.35172101,-116.0100505,"Not protected","1","2.36408831","0.172413793","1","95","2.536502103","1.25","3.170627629",c(-116.0100505, 30.35172101)
103,"Mexican Pacific","OAXACA","HUATULCO","CACALUTA",15.723134,-96.158968,"Not take zone","6","2.698707904","0.344827586","3","226","3.04353549","8.75","26.63093554",c(-96.158968, 15.723134)
104,"Gulf of Mexico","VERACRUZ","VERACRUZ","CADENA_DEL_RUSO",19.22439008,-96.04908356,"Into MPA","1","2.464965301","1.724137931","3","6","4.189103232","7.5","31.41827424",c(-96.04908356, 19.22439008)
105,"Yucatan Peninsula","QUINTANA_ROO","ISLA_MUJERES","CADENITA",21.25883765,-86.7553922,"Into MPA","4","2.91263681","4.655172414","3","24","7.567809223","9.375","70.94821147",c(-86.7553922, 21.25883765)
106,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","CALAVERA",31.34974958,-116.4970752,"Not protected","1","1.554781293","0","0","94","1.554781293","4.375","6.802168159",c(-116.4970752, 31.34974958)
107,"Yucatan Peninsula","QUINTANA_ROO","CONTOY","CALDERAS",21.465706,-86.779378,"Into MPA","1","2.121394193","0.172413793","2","354","2.293807986","6.875","15.7699299",c(-86.779378, 21.465706)
108,"Mexican Pacific","GUERRERO","ACAPULCO","CALETA",16.831535,-99.902816,"Not protected","2","3.500486386","0.344827586","3","26","3.845313972","9.375","36.04981849",c(-99.902816, 16.831535)
109,"Yucatan Peninsula","QUINTANA_ROO","COZUMEL","CALETA",20.498915,-86.965122,"Not protected","NA","NA","NA","NA","NA","NA","NA","NA",c(-86.965122, 20.498915)
110,"Mexican Pacific","GUERRERO","IXTAPA","CALETA_DE_CHON",17.61447842,-101.554941,"Not protected","8","3.685858799","0.862068966","1","215","4.547927765","8.75","39.79436794",c(-101.554941, 17.61447842)
111,"Northwest Mexico","JALISCO","PUERTO_VALLARTA","CALETAS",20.5066503,-105.371673,"Not protected","NA","NA","NA","NA","NA","NA","NA","NA",c(-105.371673, 20.5066503)
112,"Northwest Mexico","BAJA_CALIFORNIA SUR","LORETO","CAMARON",25.75165613,-111.2399675,"Into MPA","5","2.402817973","0.172413793","3","35","2.575231766","4.375","11.26663898",c(-111.2399675, 25.75165613)
113,"Gulf of Mexico","VERACRUZ","VERACRUZ","CAMARONERO",19.1715278,-95.8717222,"Into MPA","1","2.106973254","0.862068966","0","301","2.969042219","7.5","22.26781664",c(-95.8717222, 19.1715278)
114,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","CAMPO_7",31.751767,-116.716652,"Not protected","1","2.39275662","0.689655172","0","94","3.082411793","4.375","13.48555159",c(-116.716652, 31.751767)
115,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","CAMPO_KENNEDY",31.704328,-116.693458,"Not protected","1","3.773377255","0.689655172","0","94","4.463032428","4.375","19.52576687",c(-116.693458, 31.704328)
116,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","CAMPO_LUNA",28.982955,-118.223033,"Into MPA","2","0.510648347","0","1","95","0.510648347","1.25","0.638310434",c(-118.223033, 28.982955)
117,"Gulf of Mexico","VERACRUZ","VERACRUZ","CA<U+FFFD>ADA_DEL_DIABLO",19.14970223,-95.83420391,"Into MPA","1","2.023785624","0.862068966","0","302","2.88585459","7.5","21.64390942",c(-95.83420391, 19.14970223)
118,"Gulf of Mexico","VERACRUZ","VERACRUZ","CA<U+FFFD>ADA_DEL_DIABLO_2",19.14933931,-95.83497423,"Into MPA","1","2.030225553","0.862068966","0","302","2.892294519","7.5","21.69220889",c(-95.83497423, 19.14933931)
119,"Gulf of Mexico","VERACRUZ","VERACRUZ","CA<U+FFFD>ADAS_1",19.16936421,-95.85887629,"Into MPA","1","2.059713949","0.862068966","0","301","2.921782915","7.5","21.91337186",c(-95.85887629, 19.16936421)
120,"Gulf of Mexico","VERACRUZ","VERACRUZ","CA<U+FFFD>ADAS_2",19.16977774,-95.85943911,"Into MPA","1","2.059713949","0.862068966","0","301","2.921782915","7.5","21.91337186",c(-95.85943911, 19.16977774)
121,"Gulf of Mexico","VERACRUZ","VERACRUZ","CA<U+FFFD>ADAS_3",19.16881138,-95.85889322,"Into MPA","1","2.059713949","0.862068966","0","301","2.921782915","7.5","21.91337186",c(-95.85889322, 19.16881138)
122,"Mexican Pacific","GUERRERO","ACAPULCO","CANAL",16.825047,-99.910871,"Not protected","1","3.108764074","0.344827586","3","26","3.45359166","9.375","32.37742181",c(-99.910871, 16.825047)
123,"Northwest Mexico","BAJA_CALIFORNIA SUR","LORETO","CANDELEROS",26.13708676,-111.273796,"Not protected","8","2.138816601","0.172413793","3","63","2.311230394","7.5","17.33422796",c(-111.273796, 26.13708676)
